"melspec","Anthropophony","Biophony","Geophony","Interference","Quiet","Anthropophony_bin","Biophony_bin","Geophony_bin","Interference_bin","Quiet_bin","Unidentified","wav"
"0.png",0.864733695983887,0.0519362092018127,0.0427736341953278,0.001249760389328,0.00695165991783142,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"2.png",0.994582653045654,0.000724971294403076,0.109308928251266,0.000106508327007759,0.00572437047958374,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"4.png",0.997016787528992,0.000654935836791992,0.0676403045654297,0.00138384103775024,0.00122660398483276,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"6.png",0.997596383094788,0.00170522928237915,0.0235099792480469,0.000918865203857422,0.00165256857872009,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"8.png",0.991330564022064,0.00835418701171875,0.0232162773609161,0.00579127669334412,0.00265404582023621,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"10.png",0.996113538742065,0.00309577584266663,0.0122783482074738,0.000250756740570068,0.00135993957519531,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"12.png",0.960778534412384,0.294790267944336,0.00442039966583252,0.000676959753036499,8.37879488244653e-05,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"14.png",0.977951884269714,0.043333888053894,0.0165413320064545,0.000670790672302246,0.0008963942527771,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"16.png",0.863808512687683,0.0441126823425293,0.042126476764679,0.00452691316604614,0.00288894772529602,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"18.png",0.808263540267944,0.079883486032486,0.0365122556686401,0.00186985731124878,0.00100088119506836,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"20.png",0.430090487003326,0.588966548442841,0.0217072367668152,0.000452041625976562,0.00197309255599976,0,1,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"22.png",0.839271605014801,0.0771969258785248,0.0577505230903625,0.00191619992256165,0.00223180651664734,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"24.png",0.789982259273529,0.135751485824585,0.043554961681366,0.008188396692276,0.00352093577384949,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"26.png",0.980877637863159,0.00404971837997437,0.0304913520812988,0.000325292348861694,0.230111718177795,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"28.png",0.584843337535858,0.282327830791473,0.0570555031299591,0.0152643024921417,0.00873842835426331,0,0,0,0,0,1,"s2lam028_190412_2019-04-15_07-30"
"30.png",0.899580717086792,0.0571132004261017,0.0713502168655396,0.00373923778533936,0.0535126626491547,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"32.png",0.769149899482727,0.0296867787837982,0.179852664470673,0.00158938765525818,0.233933717012405,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"34.png",0.25099790096283,0.730508923530579,0.0206981897354126,0.00661003589630127,0.00212952494621277,0,1,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"36.png",0.617119431495667,0.00911852717399597,0.0505537688732147,0.00342985987663269,0.63906717300415,0,0,0,0,0,1,"s2lam028_190412_2019-04-15_07-30"
"38.png",0.793755650520325,0.129181802272797,0.0351587533950806,0.00184598565101624,0.0115294754505157,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"40.png",0.853539705276489,0.14752534031868,0.0505751669406891,0.0088733434677124,0.0149968564510345,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"42.png",0.994226038455963,0.00351747870445251,0.0110325813293457,0.000284969806671143,0.0192089676856995,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"44.png",0.964949727058411,0.00575506687164307,0.0169716775417328,0.000236362218856812,0.0461907684803009,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"46.png",0.979650735855103,0.0107889175415039,0.00801187753677368,0.000362217426300049,0.0119385123252869,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"48.png",0.993453800678253,0.00929772853851318,0.042812317609787,0.000263005495071411,0.00318562984466553,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"50.png",0.884828209877014,0.148648381233215,0.0111194849014282,0.00104743242263794,0.00196677446365356,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"52.png",0.986947774887085,0.00987079739570618,0.0447648465633392,0.000575244426727295,0.00119522213935852,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"54.png",0.96313488483429,0.00850597023963928,0.0608323216438293,0.00045350193977356,0.000319808721542358,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"56.png",0.998126149177551,0.00170344114303589,0.0401129424571991,0.00161540508270264,0.00179830193519592,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
"58.png",0.997144460678101,0.00253406167030334,0.0307044684886932,0.00158125162124634,0.000990986824035645,1,0,0,0,0,0,"s2lam028_190412_2019-04-15_07-30"
