"site","HH","Anthropophony","Biophony","Geophony","Quiet","Interference","Unidentified"
"s2lam001_180526",0,0,0.195555555555556,0.0111111111111111,0.416666666666667,0.204444444444444,0.201111111111111
"s2lam001_180526",1,0.00222222222222222,0.0911111111111111,0.0211111111111111,0.516666666666667,0.123333333333333,0.255555555555556
"s2lam001_180526",2,0.00222222222222222,0.0344444444444444,0.0322222222222222,0.571111111111111,0.151111111111111,0.224444444444444
"s2lam001_180526",3,0.00111111111111111,0.01,0.02,0.606666666666667,0.164444444444444,0.206666666666667
"s2lam001_180526",4,0.00222222222222222,0.32,0.04,0.294444444444444,0.135555555555556,0.242222222222222
"s2lam001_180526",5,0,0.771111111111111,0.01,0.0644444444444444,0.0555555555555556,0.145555555555556
"s2lam001_180526",6,0.00111111111111111,0.732222222222222,0.00444444444444444,0.0688888888888889,0.0855555555555556,0.15
"s2lam001_180526",7,0.0277777777777778,0.677777777777778,0.0133333333333333,0.0688888888888889,0.0366666666666667,0.2
"s2lam001_180526",8,0.0288888888888889,0.636666666666667,0.03,0.0422222222222222,0.04,0.238888888888889
"s2lam001_180526",9,0.0122222222222222,0.494444444444444,0.0922222222222222,0.0633333333333333,0.0455555555555556,0.314444444444444
"s2lam001_180526",10,0.00128205128205128,0.665384615384615,0.0833333333333333,0.00641025641025641,0.0358974358974359,0.223076923076923
"s2lam001_180526",11,0.0694444444444444,0.558333333333333,0.0944444444444444,0.00555555555555556,0.0819444444444444,0.236111111111111
"s2lam001_180526",12,0.0319444444444444,0.563888888888889,0.0819444444444444,0.0194444444444444,0.106944444444444,0.233333333333333
"s2lam001_180526",13,0.0166666666666667,0.480952380952381,0.0857142857142857,0.0619047619047619,0.0761904761904762,0.320238095238095
"s2lam001_180526",14,0.0244444444444444,0.466666666666667,0.0622222222222222,0.07,0.0633333333333333,0.341111111111111
"s2lam001_180526",15,0.02,0.42,0.0622222222222222,0.11,0.0211111111111111,0.383333333333333
"s2lam001_180526",16,0.0577777777777778,0.451111111111111,0.0455555555555556,0.0655555555555556,0.07,0.344444444444444
"s2lam001_180526",17,0.00111111111111111,0.488888888888889,0.0966666666666667,0.0677777777777778,0.137777777777778,0.252222222222222
"s2lam001_180526",18,0.01,0.464444444444444,0.0933333333333333,0.0977777777777778,0.128888888888889,0.263333333333333
"s2lam001_180526",19,0.00111111111111111,0.448888888888889,0.0977777777777778,0.0788888888888889,0.176666666666667,0.245555555555556
"s2lam001_180526",20,0.00111111111111111,0.405555555555556,0.0444444444444444,0.211111111111111,0.121111111111111,0.251111111111111
"s2lam001_180526",21,0.0133333333333333,0.512222222222222,0.0166666666666667,0.148888888888889,0.0655555555555556,0.287777777777778
"s2lam001_180526",22,0.00333333333333333,0.474444444444444,0.0177777777777778,0.15,0.0611111111111111,0.317777777777778
"s2lam001_180526",23,0.00111111111111111,0.295555555555556,0.0277777777777778,0.33,0.108888888888889,0.268888888888889
"s2lam001_180604",0,0.0166666666666667,0.00777777777777778,0.18,0.391111111111111,0.0144444444444444,0.4
"s2lam001_180604",1,0.0244444444444444,0.00888888888888889,0.303333333333333,0.276666666666667,0.0566666666666667,0.358888888888889
"s2lam001_180604",2,0.0155555555555556,0.00555555555555556,0.275555555555556,0.302222222222222,0.104444444444444,0.331111111111111
"s2lam001_180604",3,0.00888888888888889,0.0177777777777778,0.113333333333333,0.496666666666667,0.0144444444444444,0.361111111111111
"s2lam001_180604",4,0.00111111111111111,0.05,0.137777777777778,0.492222222222222,0.0366666666666667,0.3
"s2lam001_180604",5,0,0.321111111111111,0.115555555555556,0.177777777777778,0.0222222222222222,0.376666666666667
"s2lam001_180604",6,0.00777777777777778,0.116666666666667,0.221111111111111,0.217777777777778,0.0244444444444444,0.428888888888889
"s2lam001_180604",7,0.00333333333333333,0.12,0.108888888888889,0.464444444444444,0.0366666666666667,0.278888888888889
